cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4	dz5	dz6	dz7	dz8	dz9	dz10	dz11	dz12	dz13	dz14	dz15	dz16	dz17	dz18	dz19	dz20	dz21	dz22	dz23	dz24	dz25	dz26	dz27	dz28	dz29	dz30	dz31	dz32	dz33	dz34	dz35	dz36	dz37	dz38	dz39	dz40	dz41	dz42	dz43	dz44	dz45	dz46	dz47	dz48	dz49
1	1	69767	0	0.0467754	0.0475635	0.998907	0.998869	-3.71728e-05	-0.00120847	1.83412e-05	0.000587088	0.00157726	-0.00223056	0.000180689	0.00155404	0.00109417	0.000916947	0.000618527	0.00226551	0.00127817	6.82435e-05	0.0011262	0.000896902	-0.000145915	0.00127395	-0.000241542	-0.000618374	-0.0010013	-0.00043151	-0.00085732	-0.000713549	-0.000154179	0.00105392	0.00115339	0.0010159	0.00026414	0.00100174	-0.00162425	0.00101644	0.00203026	-0.00119388	0.00131153	0.00147828	0.00130875	0.00189031	3.51077e-05	-0.000413168	-0.00174068	-0.0016722	-0.00115565	9.25504e-05	-9.67851e-05	-5.31955e-05	-1.3919e-05	-0.00100131	-0.000685333	-0.00148452	0.000781587
1	2	9724	0	0.0129098	0.0221387	0.999917	0.999755	-0.000161716	-0.000196197	-0.000190666	0.0040647	9.35566e-05	0.002523	-0.00270495	-0.000187346	-0.000635992	-0.000534095	0.0016873	0.001936	-0.000776227	-0.00204394	-0.00295755	-0.00021276	0.000201029	0.000246131	0.00142539	-0.00120549	0.00101427	-0.000567867	-0.00344043	0.00114997	0.00319186	0.000855142	0.00204891	-0.0020801	-0.00556729	0.00136858	0.00269887	0.000706728	-0.00130937	-0.00167245	-0.000477708	-0.00064943	-0.00235292	-0.00106402	-0.00267	-0.00392769	0.000384986	-0.00286889	0.00604482	9.82459e-05	-0.00138423	-0.00255923	0.00473881	-0.00492544	-0.00119324	-0.00547198	-0.00164169
1	2	9872	0	0.0221387	0.0355144	0.999755	0.99937	-0.0003855	-0.00287392	0.00193287	0.00828049	0.00115806	-0.000245802	-0.0033077	0.0035831	-0.00583465	-0.00333827	-0.00397438	0.00463073	-0.0025607	-0.00238741	0.000437732	0.00157344	-0.00142264	0.000591604	0.00169537	0.00175999	-0.00232268	0.00131528	-0.000928747	-0.00188679	-0.00238803	-0.000663051	-0.00140824	0.00361997	-0.00141173	-0.0041721	-0.000748605	-0.0029771	-0.00748079	0.000594616	-0.00292434	-0.00475916	-0.000143361	0.00207432	-0.00323023	0.00390587	-0.00504208	-0.00393129	-0.00372798	-0.00196735	-0.00196721	-0.00404471	0.000414981	-9.6827e-05	-0.00446332	-0.00415386	0.00395949
1	2	48705	0	0.0355144	0.0400517	0.99937	0.999198	-0.000171419	0.0012293	0.000880082	0.000801645	0.00177795	-0.00345591	4.69344e-07	0.00140183	-0.00164708	0.00414501	0.00649697	0.00593433	0.00262358	0.00147809	0.00286352	0.000278265	0.00119117	0.00365833	-0.00322679	0.00574414	-0.0024337	0.0001397	-0.00272467	-0.00189167	-0.00108118	-0.00169555	-0.00188329	-0.00155628	0.00210641	0.00258786	-0.000581184	0.00194826	0.0012518	-0.00270982	0.00173315	0.000350305	0.00202112	0.00147093	7.93562e-05	-0.000830056	-0.00174396	-0.00593976	0.004802	-0.00202634	0.00342728	0.00188538	0.000849622	0.00171469	0.000277023	0.000380701	0.00281308
1	2	58860	0	0.0400517	0.0410473	0.999198	0.999158	-4.03714e-05	0.00170371	-0.00411065	0.000874997	0.00215964	0.00286717	0.00261945	-0.00135174	0.000500802	-0.000922293	0.000492218	-0.00213409	-0.00269318	0.00443945	-0.0026494	0.00387226	-0.00249112	-0.002711	-0.00123466	-0.00229435	-0.00160387	0.00273414	0.00159347	-0.00121804	0.00420062	-0.000922968	0.000127612	0.000909604	-0.00113177	0.00135677	-0.000863375	0.00236742	0.00395033	-0.000808206	0.000232152	0.000166257	-7.51443e-05	0.00178577	8.58197e-05	-0.000584928	-0.00405093	-0.00086018	-0.00440999	0.003135	0.00340906	0.00323139	0.00185968	0.00173218	0.00460233	-0.00074049	0.00588369
1	2	70029	0	0.0410473	0.0415902	0.999158	0.999136	-2.24311e-05	0.000719493	0.000279575	-0.000148232	0.000112292	2.87766e-05	-5.08833e-05	0.00066871	0.000326206	-0.000414364	-0.000382786	0.000391012	0.00012606	9.20232e-05	0.000365765	0.000222515	0.000868859	8.55495e-05	0.000249484	0.00014782	0.000827281	0.000264291	-0.000266805	0.000594559	-0.00011402	0.00033653	0.000208411	6.64101e-05	-0.000462131	-6.24027e-05	0.000523958	0.000486273	0.000119253	-0.000533199	-0.00108631	0.000844243	0.000287751	0.000350285	-0.000709053	-0.000218548	0.000441359	-0.000818027	-0.000690123	-0.000267535	0.00025984	5.42397e-05	0.000416084	-0.00076656	-0.000244733	0.000981814	0.000658642
1	2	86273	0	0.0415902	0.0417192	0.999136	0.99913	-5.37329e-06	-0.00043393	0.00558154	0.000839829	-0.000126981	0.00275097	-0.000142951	-0.00286049	-0.000749821	-0.000115296	-0.00166387	-0.000109952	0.00196118	-0.00352607	0.000598405	0.00220713	-0.00195653	0.00146239	0.00191715	-0.00185731	-0.00204143	0.000802042	0.00442325	-0.0032433	0.000224278	0.00214292	0.00231112	0.0016027	0.000521201	-0.00452431	0.00215431	-0.0018945	5.24842e-06	0.00294796	0.00204875	0.00137136	0.00281068	-0.00157857	0.00146324	0.00558761	0.000416826	0.000727169	0.00212895	0.00321716	0.000908871	-0.00317609	0.00193592	0.00237797	0.00011961	0.00186933	-0.000774968
1	2	97553	0	0.0417192	0.0461944	0.99913	0.998934	-0.000196698	0.00110068	-0.00183874	-0.0016472	0.000925578	0.00315256	0.00383363	-0.00046743	-0.00178608	0.000109973	-0.00056719	0.00162845	-0.0017383	0.000664378	-6.51884e-05	0.000312256	0.000340668	0.000209701	0.0016033	0.00241597	0.000613086	-0.000119413	0.00230182	-0.00200272	-5.00521e-05	-0.00113524	0.00136085	0.00124841	-0.00267235	-0.000445051	-0.000418668	0.000919325	-0.00046952	0.000556061	-0.000344524	0.000799561	0.00252922	-0.000290032	0.000265198	0.00117903	-0.00122057	-0.00328492	0.0024569	0.000859721	-0.000510547	-0.00218263	0.000287748	0.00239087	-0.000199636	0.00355403	-0.00187857
1	2	98396	0	0.0461944	0.0463877	0.998934	0.998925	-8.9462e-06	-0.000857574	0.00154596	-0.00236914	-0.00115568	-0.00034633	-0.000197496	0.00215111	0.00186295	0.00054303	0.00103991	-0.000349647	1.72329e-05	-0.00126838	-0.000651782	-0.00119426	-0.000766406	0.00116555	-0.00157232	-0.00173252	0.000148952	-0.00290346	-0.00141845	0.0017231	0.00144781	-0.000399573	0.0014798	0.000705362	-0.00035362	-0.000291841	0.000604681	0.00188584	-0.000109041	0.000250918	-0.000707845	-0.00199631	-0.000358639	-0.00128093	0.00156355	0.000295936	0.00176048	-0.00272773	0.00357887	-0.00123864	0.00122347	6.59306e-05	-0.00386923	-0.000518925	0.000664649	-0.000397234	0.000545091
2	1	2799	0	0.0475635	0.0475908	0.998869	0.998868	-1.29873e-06	3.33772e-05	7.53901e-06	-1.17922e-05	-5.88166e-05	-2.30343e-05	0.000116577	-4.92795e-05	-1.91023e-06	-9.40578e-05	4.05758e-05	6.7407e-05	1.82839e-05	-1.78923e-05	-1.86528e-05	-4.21208e-05	8.17278e-06	3.13035e-05	-7.4041e-06	-1.42537e-05	5.80555e-05	-2.45096e-06	3.99538e-05	1.00777e-05	3.26171e-05	-8.43617e-05	-6.66547e-05	5.58696e-05	5.7779e-06	1.88894e-05	0.000117779	-4.46213e-05	4.7952e-05	1.52593e-05	2.89363e-06	-1.83418e-05	6.11951e-05	2.69063e-05	0.000105221	-3.67336e-05	3.71905e-05	9.89261e-05	2.62979e-05	-2.73723e-07	5.22843e-05	-7.5243e-06	2.18741e-05	-2.11057e-06	-5.60595e-06	3.5199e-05	2.99901e-05
