cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.292436	1	0.999687	-0.000312672	-0.141713	-0.0538891	0.050467	0.234403	0.070998
0	0	0	0	0.292436	0.295295	0.999687	0.999669	-1.87962e-05	0.0274292	-0.00696418	-0.272609	-0.273671	0.06881
0	0	0	0	0.295295	0.291199	0.999669	0.999695	2.66543e-05	0.144	0.0912537	0.275847	0.00755332	0.141438
0	0	0	0	0.291199	0.140255	0.999695	0.999996	0.000301103	-0.142322	0.00858647	-0.0173601	0.0475661	-0.218805
1	1	2310	0	0.140255	0.150415	0.999996	0.999994	-1.98438e-06	0.0988396	-0.130207	0.0370041	-0.0570012	0.0214666
1	1	15561	0	0.150415	0.271894	0.999994	0.999798	-0.0001962	0.100782	0.170172	-0.111524	-0.177938	-0.187177
1	1	43137	0	0.271894	0.337589	0.999798	0.99926	-0.000537955	0.0140105	-0.107002	0.022445	-0.0607429	-0.0530002
1	1	50915	0	0.337589	0.325973	0.99926	0.9994	0.000140251	-0.269022	0.0718929	-0.248738	0.20128	0.1561
1	1	53886	0	0.325973	0.3014	0.9994	0.999625	0.000225066	0.0181937	-0.176326	0.136764	-0.0980192	-0.0578345
1	1	66829	0	0.3014	0.25911	0.999625	0.999849	0.000223541	0.0250906	-0.0450222	0.0544224	0.246967	-0.0407416
1	1	85761	0	0.25911	0.160205	0.999849	0.999992	0.000142869	0.245751	0.186134	0.0403782	-0.168501	0.0834559
1	1	90198	0	0.160205	0.30696	0.999992	0.999582	-0.000409734	0.0753567	0.0330495	-0.0796407	-0.0703151	-0.098222
1	1	92710	0	0.30696	0.221353	0.999582	0.999941	0.000359521	-0.0933142	-0.119324	-0.0284857	0.137812	0.00619661
1	2	2232	0	0.140255	0.114319	0.999996	0.999999	2.69003e-06	0.0414651	-0.0588354	-0.0979527	0.0405265	-0.0877372
1	2	5126	0	0.114319	0.239331	0.999999	0.999906	-9.28452e-05	-0.0718093	0.141069	0.0581981	0.0159501	-0.104731
1	2	22689	0	0.239331	0.267714	0.999906	0.999816	-9.01067e-05	0.161822	-0.223406	-0.142901	-0.267434	0.0926088
1	2	25392	0	0.267714	0.213153	0.999816	0.999953	0.000137191	-0.14455	0.211337	0.136827	0.159171	0.165261
1	2	26378	0	0.213153	0.236129	0.999953	0.999913	-3.97743e-05	0.0177863	-0.186163	0.0630338	-0.0803386	0.0197987
1	2	32223	0	0.236129	0.315207	0.999913	0.99951	-0.000403639	0.021677	0.273016	0.0630371	-0.0426122	-0.0265365
1	2	53234	0	0.315207	0.23874	0.99951	0.999907	0.000397889	0.293709	-0.0979241	-0.0737015	0.172448	-0.0731448
1	2	71317	0	0.23874	0.233509	0.999907	0.999919	1.1522e-05	-0.239821	-0.227951	-0.171008	0.125514	-0.0186658
1	2	80134	0	0.233509	0.229919	0.999919	0.999926	7.19619e-06	0.0908576	0.0708041	0.0503672	-0.297203	0.0927648
2	1	6381	0	0.221353	0.189066	0.999941	0.999977	3.59779e-05	-0.181981	0.113877	0.171044	-0.0462282	-0.0389831
2	1	8019	0	0.189066	0.301508	0.999977	0.999624	-0.00035273	-0.0124832	0.196045	-0.110053	-0.0359549	0.0489539
2	1	8382	0	0.301508	0.238993	0.999624	0.999907	0.000282499	-0.0206424	-0.133252	0.0775034	-0.0492648	0.00518226
2	1	26485	0	0.238993	0.193665	0.999907	0.999974	6.67923e-05	0.229093	-0.115109	0.0126026	0.19349	0.242007
2	1	33016	0	0.193665	0.283256	0.999974	0.999742	-0.000231844	-0.175695	-0.0880251	-0.230027	0.0404064	-0.261264
2	1	43621	0	0.283256	0.241879	0.999742	0.9999	0.000158136	0.00779959	0.0795962	0.101687	-0.0785779	-0.0917727
2	1	45335	0	0.241879	0.251751	0.9999	0.999873	-2.71629e-05	0.0316392	-0.106135	0.0219453	0.0289802	0.393371
2	1	50176	0	0.251751	0.293812	0.999873	0.999678	-0.000194343	-0.122425	0.345641	0.020241	0.0970011	-0.196568
2	1	50449	0	0.293812	0.237477	0.999678	0.99991	0.000231999	0.113596	-0.159427	-0.114252	0.00830197	0.011508
2	1	88168	0	0.237477	0.290274	0.99991	0.999701	-0.000209396	0.0411513	0.184629	0.0877274	-0.00160293	-0.00364403
2	2	1172	0	0.229919	0.213586	0.999926	0.999953	2.63941e-05	0.0750233	-0.0357501	0.00825543	0.0400742	-0.127134
2	2	15763	0	0.213586	0.241212	0.999953	0.999902	-5.10147e-05	-0.0384296	0.239971	-0.049833	0.00680636	-0.0329969
2	2	35204	0	0.241212	0.278949	0.999902	0.999764	-0.000137076	-0.0370536	0.0344373	-0.0844028	0.114518	0.0639415
2	2	39975	0	0.278949	0.269864	0.999764	0.999807	4.24443e-05	0.153943	-0.0829784	0.179671	0.0983202	-0.113296
2	2	42460	0	0.269864	0.348919	0.999807	0.999098	-0.00070886	-0.0512402	-0.05176	0.226295	0.0313799	0.275325
2	2	49943	0	0.348919	0.303467	0.999098	0.99961	0.000511852	-0.0536495	-0.183141	-0.254323	-0.105613	0.0529986
2	2	74425	0	0.303467	0.240376	0.99961	0.999904	0.000294108	-0.166627	0.277575	-0.0653096	0.0342518	-0.109518
2	2	78485	0	0.240376	0.253077	0.999904	0.999869	-3.4914e-05	-0.054815	-0.0559771	0.194283	0.0698965	0.0129592
2	2	87968	0	0.253077	0.229303	0.999869	0.999927	5.86865e-05	-0.00548299	-0.124931	-0.0162344	-0.0192276	-0.00217644
3	1	9662	0	0.290274	0.196994	0.999701	0.999971	0.000269915	0.0892946	-0.384849	0.100585	-0.211007	0.0107861
3	1	13270	0	0.196994	0.264121	0.999971	0.99983	-0.00014051	-0.0736436	0.0479927	-0.122829	-0.10296	0.0807268
3	1	97053	0	0.264121	0.312146	0.99983	0.999538	-0.000292724	0.0581936	0.0615697	-0.0528157	-0.0487721	-0.0613575
3	2	1537	0	0.229303	0.260102	0.999927	0.999845	-8.21353e-05	0.277105	0.123576	-0.246253	-0.108594	-0.10057
3	2	2097	0	0.260102	0.257163	0.999845	0.999855	1.02038e-05	-0.015762	-0.0604973	0.0251192	-0.040153	0.0946185
3	2	90787	0	0.257163	0.113652	0.999855	0.999999	0.00014355	-0.174749	-0.0634364	0.133611	-0.0146151	-0.0542355
3	2	91086	0	0.113652	0.270404	0.999999	0.999805	-0.000194359	-0.127186	0.133884	-0.0191264	-0.13445	-0.131033
