cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.00593474	1	0.999982	-1.76104e-05	0.00473127	-0.000584638	0.00173685	-0.00262728	0.00160477
0	0	0	0	0.00593474	0.00545509	0.999982	0.999985	2.73156e-06	-0.000357395	4.86032e-05	0.000362197	0.000733196	-7.29569e-05
1	1	887	0.000776379	0.00485482	0.0237113	0.999988	0.999719	-0.000269293	-0.0147047	0.000208106	0.0151973	-0.00458469	-0.0114116
1	1	3356	0.0110771	0.0299526	0.0451115	0.999552	0.998983	-0.000568784	-0.0108455	0.015911	0.00267164	0.0151864	-0.00677517
1	1	8323	0.0668269	0.0934844	0.0771521	0.99564	0.997028	0.00139442	0.018312	-0.00179597	-0.00203493	0.00570223	-0.00274227
1	1	10697	0.108747	0.116416	0.0653314	0.993247	0.997868	0.004653	0.06164	0.00695767	-0.0423679	0.00542209	0.0381156
1	1	14063	0.182823	0.130991	0.128043	0.991457	0.991836	0.000381915	0.0050791	0.00413645	-0.0024636	0.00753152	-0.00645698
1	1	15532	0.219791	0.162966	0.149504	0.986809	0.988886	0.00210538	0.0155749	0.00404078	0.00244643	0.00501823	0.000669955
1	1	17665	0.277653	0.204799	0.139764	0.979247	0.990281	0.0112673	0.104693	0.0644488	-0.0194749	-0.03696	-0.0237694
1	1	17736	0.279646	0.141105	0.136036	0.990094	0.99079	0.000702647	0.0051684	0.00515025	0.0271437	-0.00988898	-0.00118729
1	1	19741	0.337791	0.179984	0.151712	0.983933	0.988558	0.00469986	0.0309616	-0.00986802	0.0344733	-0.0103844	-0.00825593
1	1	20330	0.355405	0.165733	0.131746	0.98636	0.991359	0.005068	0.0335379	-0.020814	-0.0387023	0.00857794	0.0617905
1	1	20508	0.360773	0.135929	0.0996212	0.990804	0.99505	0.00428529	0.116257	0.00501627	0.0729332	0.00564628	-0.083003
1	1	25114	0.503605	0.166361	0.156203	0.986257	0.987874	0.00163956	0.00599658	0.00190653	-0.0156756	0.00482808	0.00698213
1	1	25548	0.517238	0.167522	0.120915	0.986066	0.992716	0.00674413	0.0980008	-0.0260079	0.0211126	-0.0382252	-0.0372505
