cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
1	1	25372	0	0	0.00274613	1	0.999996	-3.77062e-06	0.00215672	0.000909052	-2.75405e-06	-0.00122811	0.000745088
1	2	96051	0	0	0.00391046	1	0.999992	-7.64583e-06	0.00153461	0.000599036	0.000598037	-0.00234408	-0.00259335
3	2	56758	0	0.00391046	0.0141814	0.999992	0.999899	-9.29064e-05	-0.00621662	-0.00388962	0.00204249	0.0075753	-0.00898361
4	2	74183	0	0.0141814	0.00824536	0.999899	0.999966	6.65659e-05	0.00264359	5.0769e-06	-0.00214594	-0.00190268	0.00511845
5	1	38669	0	0.00274613	0.0118202	0.999996	0.99993	-6.60853e-05	0.00234941	-0.0110278	0.000923069	0.00517687	-0.0015081
5	1	63383	0	0.0118202	0.0175814	0.99993	0.999845	-8.46918e-05	-0.00204704	-0.00432873	0.00270198	0.00489912	0.00247308
6	1	13429	0	0.0175814	0.0197351	0.999845	0.999805	-4.01834e-05	-0.00909828	0.00385779	0.00940736	-0.000920237	-0.00250738
6	1	33473	0	0.0197351	0.0200921	0.999805	0.999798	-7.10793e-06	0.00156734	0.0091384	-0.0162942	0.00830211	-0.00929227
6	2	1437	0	0.00824536	0.0114411	0.999966	0.999935	-3.14564e-05	0.000296341	-0.00162099	0.00181715	0.00152502	-0.00219538
7	1	88027	0	0.0200921	0.0192315	0.999798	0.999815	1.69196e-05	-0.000504081	-0.00163743	0.01482	-0.0144023	-0.00377954
7	2	27360	0	0.0114411	0.0126846	0.999935	0.99992	-1.49994e-05	0.0038816	0.00489747	-0.0010496	0.00195797	-0.00175433
8	1	67462	0	0.0192315	0.0236524	0.999815	0.99972	-9.47865e-05	-0.00265988	-0.00690932	0.00730642	-0.00166822	0.00788177
9	1	58928	0	0.0236524	0.0236677	0.99972	0.99972	-3.62778e-07	-2.16573e-05	9.98723e-06	-3.74927e-05	-3.04143e-05	-0.000163914
10	1	12951	0	0.0236677	0.0232168	0.99972	0.999731	1.05709e-05	-0.00384687	-0.000470583	-0.00316113	-0.000742409	3.52592e-05
10	1	92524	0	0.0232168	0.0234153	0.999731	0.999726	-4.6284e-06	-0.000579112	3.04271e-05	-0.000648371	0.000752859	-0.00117721
11	1	6338	0	0.0234153	0.0152151	0.999726	0.999884	0.0001584	0.00475534	0.00761715	-0.007711	-0.00225635	-0.00285143
11	1	52669	0	0.0152151	0.0146664	0.999884	0.999892	8.19904e-06	0.0005672	-0.00139056	-0.00163127	0.00202201	-0.000394686
11	1	81737	0	0.0146664	0.0150382	0.999892	0.999887	-5.52207e-06	5.59217e-06	-0.000119846	0.00217729	0.000764407	0.000984179
11	1	96392	0	0.0150382	0.00996596	0.999887	0.99995	6.3415e-05	8.43403e-05	-0.00122561	-0.0039436	-2.76011e-05	0.00944568
12	1	35278	0	0.00996596	0.0100769	0.99995	0.999949	-1.11165e-06	-7.23652e-05	-2.90771e-07	0.000139436	2.38119e-05	0.000295339
12	1	75557	0	0.0100769	0.0128617	0.999949	0.999917	-3.1939e-05	0.0033749	-0.00493603	-0.00365073	0.00153872	-0.00608145
12	2	22525	0	0.0126846	0.013733	0.99992	0.999906	-1.38482e-05	0.00153316	0.000439053	-0.00135867	0.00149642	0.000117923
13	1	55085	0	0.0128617	0.0133161	0.999917	0.999911	-5.94817e-06	0.00173227	-0.00237932	-0.00189532	-0.00244206	0.00375973
13	1	92824	0	0.0133161	0.0132147	0.999911	0.999913	1.34517e-06	0.00933447	0.00620187	0.00932782	-0.000490401	0.00638736
13	2	42410	0	0.013733	0.00930502	0.999906	0.999957	5.10072e-05	-0.0064944	0.00613869	0.00200679	-0.00287432	0.0118069
13	2	52759	0	0.00930502	0.0152174	0.999957	0.999884	-7.24897e-05	-0.00780964	-0.00140087	0.00447499	-0.00554225	0.00562852
14	1	34828	0	0.0132147	0.0163791	0.999913	0.999866	-4.68221e-05	-0.00127908	-0.00321884	0.00158451	-0.00302046	0.00159353
14	1	37716	0	0.0163791	0.0177191	0.999866	0.999843	-2.28445e-05	-0.00526061	-0.00389893	0.000866882	0.000522188	-0.00306371
14	1	61260	0	0.0177191	0.0191179	0.999843	0.999817	-2.57643e-05	-0.00248759	-0.00175352	-0.000128156	0.00291993	0.00138924
14	1	93381	0	0.0191179	0.0199454	0.999817	0.999801	-1.61619e-05	-0.00319069	-0.000474281	-0.000602274	0.00351455	-0.000437382
15	1	59736	0	0.0199454	0.0224809	0.999801	0.999747	-5.37851e-05	0.0042116	-0.00342602	0.000930195	-0.00298313	0.000401249
15	1	78113	0	0.0224809	0.0232988	0.999747	0.999729	-1.87202e-05	0.00162097	0.00483584	0.00437744	0.00557302	0.00452254
15	2	51472	0	0.0152174	0.0192962	0.999884	0.999814	-7.03846e-05	-0.00288105	0.00250089	0.00168482	-0.00783134	-0.00881209
15	2	90460	0	0.0192962	0.018329	0.999814	0.999832	1.81956e-05	0.0171455	0.00608182	-0.00204346	0.00206524	0.00959423
16	1	17841	0	0.0232988	0.0177849	0.999729	0.999842	0.000113271	0.00329137	0.00520139	-0.000809779	-0.0021048	-0.00762726
17	1	3479	0	0.0177849	0.0165088	0.999842	0.999864	2.18821e-05	0.00368712	0.00378745	-0.00909809	0.00846634	-0.00412783
