cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.0127705	1	0.999918	-8.15396e-05	-0.002219	0.00420235	0.00457114	-0.00848964	-0.00689441
0	0	0	0	0.0127705	0.0209923	0.999918	0.99978	-0.000138785	0.00196812	0.00836977	-0.00372225	-0.00475513	-0.00342109
1	1	12277	0.141542	0.143338	0.119499	0.98978	0.992885	0.00313785	0.0317858	-0.0158221	-0.00139332	-0.0053154	-0.0323818
1	1	12608	0.148857	0.126265	0.100769	0.99206	0.994936	0.00289837	0.0252362	0.00757441	-0.0352597	0.00798295	0.026505
1	1	15175	0.210573	0.159153	0.104231	0.987415	0.994583	0.00725909	0.0551447	-0.00328292	0.0502959	0.0149103	0.0462075
1	1	15358	0.215299	0.108715	0.0887496	0.994108	0.996069	0.00197315	0.0288071	0.0165553	0.0158038	-0.0110984	0.00225918
1	1	17616	0.276284	0.143846	0.134925	0.989707	0.990939	0.00124428	0.00883278	9.93519e-05	-0.0100074	-0.00667225	0.00292909
1	1	18497	0.301361	0.158712	0.101475	0.987484	0.994865	0.00747399	0.0556465	-0.00953155	-0.0194514	-0.00181178	-0.00780475
1	1	20503	0.360621	0.158763	0.0919847	0.987476	0.995778	0.00840733	0.0708277	-0.0338679	-0.0239962	0.00661978	-0.0332356
1	1	21809	0.400436	0.129547	0.0794414	0.991644	0.99685	0.00524946	0.0654491	0.00639484	0.0172091	-0.0288826	0.0377688
1	1	23963	0.467474	0.136783	0.131168	0.990689	0.991434	0.00075257	0.0170972	-0.00214953	0.048203	-0.00271931	0.00656643
1	1	24708	0.490846	0.151134	0.0892819	0.988644	0.996022	0.00746289	0.0853818	0.0419927	0.00970652	0.0390563	0.0129797
1	1	25859	0.527003	0.112558	0.0838628	0.993685	0.99649	0.0028221	0.0457623	0.0187998	-0.0285921	0.009855	0.00746624
1	1	27148	0.567296	0.107986	0.0176591	0.994186	0.999844	0.0056907	0.0786472	-0.0496459	-0.025765	-0.0161633	-0.0470019
1	1	29593	0.642317	0.0760216	0.0780144	0.997115	0.996962	-0.000153473	-0.00282598	0.0140267	0.0058784	-0.00409614	-0.00631107
1	1	31555	0.70017	0.135338	0.0449909	0.990884	0.998988	0.00817937	0.10586	0.014895	0.00708389	0.0302121	0.0141536
1	1	34440	0.779484	0.113483	0.0867114	0.993582	0.996248	0.00268333	0.0260841	-0.035121	-0.0135531	0.00240899	-0.0113653
1	1	34757	0.787684	0.0945042	0.0644661	0.995544	0.997924	0.00239044	0.0283919	0.00576819	0.00992011	-0.00927908	-0.0142455
1	1	35883	0.815879	0.0918481	0.0909933	0.995791	0.995869	7.81527e-05	0.0221528	-0.00520302	-0.0179562	-0.0466623	-0.0398084
1	1	39543	0.89591	0.159828	0.13561	0.987309	0.990847	0.00358383	0.024938	0.00934325	-0.00699979	0.0150566	-0.00449556
1	1	40023	0.904938	0.143845	0.131198	0.989708	0.99143	0.00174071	0.00991243	-0.00754058	-0.00105614	0.00770303	0.0100874
1	1	40169	0.907615	0.133692	0.107317	0.991103	0.994258	0.00318343	0.0341154	-0.0264934	0.0558685	-0.00249201	0.0493303
1	1	40303	0.910043	0.109374	0.0846437	0.994036	0.996424	0.00240198	0.0192561	0.0188065	-0.0154265	-0.0133216	-0.00700536
1	1	40560	0.914597	0.0886423	0.080897	0.996079	0.996733	0.000656782	0.0159139	0.0460111	0.00589032	-0.00316908	0.0164423
1	1	41368	0.928246	0.0918412	0.0634574	0.995791	0.997989	0.00220641	0.0417634	-0.0340744	-0.041923	0.00415097	-0.0612525
1	1	42879	0.95079	0.0779896	0.0455518	0.996963	0.998963	0.00200572	0.0450461	0.0234717	-0.0107457	0.058273	0.0313379
1	1	46569	0.988427	0.066188	0.0637892	0.997812	0.997968	0.000155906	-0.000678438	-0.0110452	0.00600786	1.95211e-05	-0.00266355
1	1	62920	0.844085	0.102136	0.101883	0.994798	0.994823	2.58139e-05	0.000650272	-0.000611925	-0.000690221	-0.00378586	-0.000830443
1	1	64333	0.810571	0.133649	0.0795415	0.991109	0.996842	0.00578422	-0.0982098	-0.00116282	-0.019336	0.0201978	-0.0250995
1	1	68469	0.699455	0.159303	0.121518	0.987391	0.992644	0.00531952	-0.0672286	-0.000134405	-0.0206642	0.00718426	-0.0117385
1	1	68963	0.685134	0.130739	0.107749	0.99149	0.994212	0.00274526	0.00611273	-0.00119747	0.0291625	-0.0232988	0.0246001
1	1	70792	0.630658	0.157709	0.13842	0.987641	0.990466	0.00286007	-0.0288642	0.0128507	-0.0196741	0.00747748	0.00466095
1	1	71940	0.595511	0.169817	0.111958	0.985685	0.993752	0.00818489	-0.0437041	-0.018273	0.0453682	-0.0366995	0.0173967
1	1	74394	0.519024	0.188276	0.0630771	0.982432	0.998013	0.015859	-0.140327	0.00768198	-0.0317955	-0.0113821	0.0206031
1	1	74774	0.507076	0.0725353	0.070358	0.997373	0.997528	0.000155567	-0.0181158	-0.0177585	0.0271661	-0.03535	0.0143216
1	1	79579	0.358097	0.198798	0.18414	0.980434	0.983189	0.00281033	-0.0120649	0.00587233	-0.00842851	0.00404741	-0.0313567
1	1	81308	0.30695	0.234047	0.160719	0.972983	0.987168	0.0145791	-0.0997242	-0.0793921	0.026683	0.069722	0.00201131
1	1	82549	0.271622	0.190406	0.164426	0.982036	0.986573	0.00462001	-0.0204683	0.0180549	0.0125428	-0.00829793	0.00859509
1	1	82928	0.261085	0.173772	0.134717	0.985015	0.990967	0.00604221	-0.0433296	0.0618701	0.00976449	0.0371898	-0.0436837
1	1	83426	0.247458	0.146237	0.126893	0.989364	0.991981	0.0026452	-0.0365178	-0.00402794	0.00966889	-0.0107534	-0.0296034
1	1	83460	0.246547	0.127534	0.103631	0.9919	0.994645	0.00276658	-0.158069	0.0572604	-0.0380894	0.0120843	0.0387068
1	1	83465	0.246406	0.103539	0.0884422	0.994654	0.996097	0.00145017	0.00824219	-0.0136914	-0.00657107	-0.00218708	0.0188588
1	1	84373	0.222242	0.0742934	0.0473229	0.997244	0.998881	0.00164137	-0.00391476	-0.0055457	-0.00406533	-0.0603087	0.00310033
1	1	89098	0.112781	0.07469	0.0700828	0.997215	0.997547	0.00033355	-0.00207771	-0.0106355	0.00450531	-0.00623305	-0.000650835
1	1	91568	0.0685427	0.113475	0.0958643	0.993582	0.995416	0.00184506	-0.0671787	0.0203654	-0.0513104	-0.0203345	-0.0418565
1	1	94473	0.0298436	0.119029	0.0758036	0.992941	0.997131	0.00421968	-0.0593223	-0.00618309	0.000364804	0.0664548	0.0462661
1	2	9404	0.0847721	0.0875758	0.0717428	0.996173	0.99743	0.00126204	0.0324043	0.0276268	-0.0126918	0.0371014	0.00303847
1	2	11626	0.127577	0.107164	0.0783341	0.994274	0.996937	0.00267749	0.0340778	-0.0145708	-0.0246557	-0.0284458	-0.0117719
1	2	15882	0.228981	0.169883	0.156572	0.985673	0.987817	0.00217513	0.0301872	0.00049476	-0.0285989	-0.0382748	0.00546328
1	2	16709	0.251176	0.175761	0.0505793	0.984673	0.998722	0.0142677	0.137898	0.0103757	0.0407741	0.0315755	0.0285127
1	2	19625	0.334338	0.110807	0.09451	0.99388	0.995544	0.00167444	0.0254535	0.00826846	0.0056497	0.0316274	0.00967711
1	2	21623	0.394709	0.146902	0.114046	0.989268	0.993518	0.00429609	0.0477117	-0.0358961	0.0275888	0.00369649	0.0436751
1	2	23168	0.442588	0.153791	0.129061	0.988244	0.991706	0.00350356	0.0221367	-0.0133514	0.000485311	0.000631096	-0.0119075
1	2	24053	0.470273	0.153877	0.0995279	0.988231	0.995059	0.00690994	0.0693031	-0.0310128	-0.0517242	-0.0153317	-0.0154247
1	2	25519	0.516305	0.136359	0.071443	0.990746	0.997451	0.0067676	0.055609	0.0421897	0.0200102	-0.005825	-0.0138733
1	2	25556	0.517485	0.0724656	0.0582709	0.997378	0.998304	0.000928311	0.0137924	-0.00737556	0.00962427	0.00871353	-0.00123318
1	2	29040	0.625576	0.160334	0.14875	0.987229	0.988998	0.00179179	0.0533154	-0.0316803	-0.0550895	0.0475862	0.0200442
1	2	29089	0.627074	0.149801	0.106308	0.988843	0.994365	0.00558504	0.0234028	-0.01023	0.0238575	-0.035659	-0.0302066
1	2	29228	0.631281	0.109587	0.107316	0.994013	0.994258	0.000246309	-0.00384998	-0.0098556	0.0304158	-0.0151577	0.00398954
1	2	29451	0.638046	0.113055	0.0690988	0.99363	0.997616	0.00401142	0.0459077	0.0166406	-0.012838	-0.000336789	-0.0083467
1	2	30593	0.67212	0.096993	0.0964484	0.995307	0.99536	5.26746e-05	0.00264815	-0.000798623	-0.0025022	0.0020186	0.00388295
