cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
3	1	71335	0	0.0216952	0.00654451	0.999765	0.999979	0.000213948	0.0151507
3	1	77542	0	0.00654451	0.00051644	0.999979	1	2.12822e-05	0.00706095
3	1	92684	0	0.00051644	0.000834989	1	1	-2.15248e-07	0.000318549
3	1	99428	0	0.000834989	0.00568138	1	0.999984	-1.57903e-05	0.00484639
3	2	16141	0	0.00793305	0.0210132	0.999969	0.999779	-0.000189294	-0.0289463
3	2	18135	0	0.0210132	0.0222946	0.999779	0.999752	-2.77449e-05	0.0433078
3	2	34559	0	0.0222946	0.028244	0.999752	0.999601	-0.000150326	-0.0505385
3	2	39876	0	0.028244	0.0230998	0.999601	0.999733	0.00013207	0.0513437
3	2	45630	0	0.0230998	0.0117048	0.999733	0.999932	0.000198319	-0.0348045
3	2	51099	0	0.0117048	0.0173267	0.999932	0.99985	-8.1604e-05	-0.00562199
3	2	80701	0	0.0173267	0.0144234	0.99985	0.999896	4.60915e-05	0.0317502
3	2	86165	0	0.0144234	0.0261022	0.999896	0.999659	-0.000236617	0.0116788
3	2	87935	0	0.0261022	0.0285982	0.999659	0.999591	-6.82642e-05	-0.0547004
3	2	90387	0	0.0285982	0.00374751	0.999591	0.999993	0.000401988	0.0323457
4	1	2016	0	0.00568138	0.0223805	0.999984	0.99975	-0.000234278	0.0166992
4	1	10964	0	0.0223805	0.00329031	0.99975	0.999995	0.000245061	-0.0190902
4	1	17505	0	0.00329031	0.00351213	0.999995	0.999994	-7.54459e-07	-0.00680244
4	1	36466	0	0.00351213	0.0263535	0.999994	0.999653	-0.000341028	-0.0228414
4	1	40053	0	0.0263535	0.0121507	0.999653	0.999926	0.000273471	0.0385042
4	1	43509	0	0.0121507	0.018128	0.999926	0.999836	-9.0488e-05	0.00597728
4	1	44705	0	0.018128	0.000410465	0.999836	1	0.000164241	-0.0185385
4	1	59602	0	0.000410465	0.00688516	1	0.999976	-2.36182e-05	-0.0064747
4	1	63112	0	0.00688516	0.00368676	0.999976	0.999993	1.69068e-05	0.0031984
4	1	65726	0	0.00368676	0.00253662	0.999993	0.999997	3.57888e-06	0.00622339
4	2	8583	0	0.00374751	0.0153656	0.999993	0.999882	-0.000111023	0.0116181
4	2	17108	0	0.0153656	0.00239802	0.999882	0.999997	0.000115182	-0.0129676
4	2	22958	0	0.00239802	0.0190863	0.999997	0.999818	-0.000179252	0.0166883
4	2	28166	0	0.0190863	0.00865236	0.999818	0.999963	0.000144722	-0.0104339
4	2	39081	0	0.00865236	0.00836847	0.999963	0.999965	2.41601e-06	-0.0170208
4	2	43132	0	0.00836847	0.000765666	0.999965	1	3.47232e-05	0.00913414
4	2	86600	0	0.000765666	0.00202465	1	0.999998	-1.75648e-06	-0.00279032
5	1	51439	0	0.00253662	0.0222555	0.999997	0.999752	-0.000244406	-0.0247921
5	1	75030	0	0.0222555	0.0175548	0.999752	0.999846	9.35712e-05	0.0398103
5	1	75296	0	0.0175548	0.0111727	0.999846	0.999938	9.16752e-05	-0.00638209
