cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.109273	1	0.999929	-7.12854e-05	-0.0479137	0.0113698	-0.0621587	0.0740475	-0.0129915
0	0	0	0	0.109273	0.0892711	0.999929	0.999968	3.95336e-05	0.0244823	-0.000189554	-0.0196762	-0.0841291	0.0352786
1	1	9783	0	0.0892711	0.134513	0.999968	0.999836	-0.000131928	-0.00617661	0.0335356	0.0255358	0.117747	-0.0436474
1	1	28597	0	0.134513	0.129436	0.999836	0.99986	2.33484e-05	0.0964295	0.0165553	-0.0182954	-0.0777274	-0.0241795
1	1	29925	0	0.129436	0.117468	0.99986	0.999905	4.51437e-05	-0.0106971	-0.0748161	0.0205801	0.00969167	-0.0317725
1	1	55423	0	0.117468	0.153432	0.999905	0.999723	-0.000181879	-0.0187061	0.0655364	-0.00022568	-0.0924207	-0.0397739
1	1	58435	0	0.153432	0.114914	0.999723	0.999913	0.000189926	-0.0581462	-0.00951879	-0.0179024	0.0350796	0.0432387
1	1	75751	0	0.114914	0.0854046	0.999913	0.999973	6.05907e-05	-0.046684	-0.0167094	0.0573714	0.0598501	0.0642558
1	1	85169	0	0.0854046	0.108295	0.999973	0.999931	-4.21701e-05	0.0219257	0.0225589	0.0429962	0.0145101	-0.0480117
1	1	87236	0	0.108295	0.11377	0.999931	0.999916	-1.49972e-05	-0.00982314	0.0042417	-0.00260684	-0.00189765	-0.00128303
1	1	89708	0	0.11377	0.102485	0.999916	0.999945	2.86115e-05	0.0065145	-0.00896787	-0.0384188	-0.0763155	-0.015898
1	2	9927	0	0.0892711	0.0996574	0.999968	0.999951	-1.7563e-05	0.00227877	-0.00453159	-0.00999206	-0.0193953	-0.0105023
1	2	11081	0	0.0996574	0.154591	0.999951	0.999714	-0.000236217	-0.0979858	0.0298241	0.00471425	0.0020887	-0.00584672
1	2	11278	0	0.154591	0.154447	0.999714	0.999716	1.06133e-06	0.0167745	-0.14815	0.094573	0.0122844	0.0189572
1	2	15003	0	0.154447	0.162459	0.999716	0.999652	-6.37928e-05	0.0182515	0.00841901	0.0287687	-0.036593	0.0434474
1	2	31009	0	0.162459	0.118952	0.999652	0.9999	0.000248223	0.142593	0.025728	0.000624011	0.0551709	-0.0104785
1	2	49359	0	0.118952	0.132974	0.9999	0.999844	-5.62238e-05	-0.0153813	0.0220524	-0.022304	0.0355332	0.047081
1	2	65980	0	0.132974	0.180109	0.999844	0.999474	-0.000369751	-0.158127	-0.0197126	-0.112145	0.0213368	-0.0852561
1	2	87054	0	0.180109	0.146421	0.999474	0.99977	0.000296373	0.01406	0.00802803	0.0222306	-0.027889	-0.0204336
1	2	87817	0	0.146421	0.117819	0.99977	0.999904	0.000133482	0.0343576	-0.0120978	0.0568932	-0.00229629	-0.0429751
1	2	88918	0	0.117819	0.142428	0.999904	0.999794	-0.000109402	-0.0211314	-0.0246509	-0.0117942	-0.0578271	0.0541068
2	1	14594	0	0.102485	0.155945	0.999945	0.999704	-0.000240515	0.0749264	0.0945458	-0.0180011	0.0397321	0.0175655
2	1	25736	0	0.155945	0.0562938	0.999704	0.999995	0.000290723	-0.0271896	-0.153795	0.0609974	-0.0089799	0.0133251
2	1	76443	0	0.0562938	0.0942117	0.999995	0.999961	-3.43685e-05	-0.0273659	-0.00742477	-0.0251691	0.0460066	-0.022917
2	1	91232	0	0.0942117	0.0881941	0.999961	0.99997	9.14023e-06	0.0561496	0.0348972	0.0175239	-0.0024015	0.00702634
2	1	95853	0	0.0881941	0.0982494	0.99997	0.999953	-1.63394e-05	0.0433804	-0.0425358	0.0149938	-0.0637122	0.105878
2	2	10603	0	0.142428	0.0992633	0.999794	0.999951	0.000157223	0.127578	0.0424395	-0.00447955	0.0821948	-0.0279095
2	2	21059	0	0.0992633	0.121853	0.999951	0.99989	-6.16898e-05	-0.0680218	0.0379776	0.054939	-0.0808749	-0.0938323
2	2	24426	0	0.121853	0.249693	0.99989	0.998058	-0.00183162	0.0852581	-0.0718859	0.0668006	0.0375607	-0.0943105
2	2	25493	0	0.249693	0.152077	0.998058	0.999733	0.0016775	0.0330188	0.111883	-0.120773	-0.0606119	0.100038
2	2	69848	0	0.152077	0.122042	0.999733	0.999889	0.000156529	-0.059609	0.0292158	-0.0471934	0.0421696	0.033059
2	2	89940	0	0.122042	0.118751	0.999889	0.999901	1.14895e-05	-0.00902316	-0.0324838	0.0454583	-0.0559019	-0.0180921
2	2	94374	0	0.118751	0.14299	0.999901	0.999791	-0.000109583	0.0390424	0.0262268	-0.0625601	-0.0078319	0.0667038
3	1	12950	0	0.0982494	0.142551	0.999953	0.999794	-0.000159867	-0.0744397	-0.0641165	-0.0897842	-0.0274414	0.0382631
3	1	36777	0	0.142551	0.174428	0.999794	0.999537	-0.000256344	-0.0251342	-0.0227415	-9.36514e-05	0.0634842	0.0270938
3	1	38074	0	0.174428	0.150773	0.999537	0.999742	0.000204482	-0.0265458	0.150678	-0.056014	0.0205186	-0.0422554
3	1	42460	0	0.150773	0.119912	0.999742	0.999897	0.000155021	0.0550983	-0.00219272	0.0214809	-0.0329535	0.00641374
3	1	52749	0	0.119912	0.146792	0.999897	0.999768	-0.000128771	0.0530339	-0.0750205	-0.0198675	0.0508224	-0.0387986
3	1	58062	0	0.146792	0.119601	0.999768	0.999898	0.000129857	-0.018553	-0.00528107	0.0132	-0.0212004	-0.0253451
3	1	74306	0	0.119601	0.105852	0.999898	0.999937	3.95357e-05	-0.065624	0.0136326	0.174362	0.000794433	-0.0353446
