cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
1	1	84813	0.210879	0.0570964	0.0522809	0.998371	0.998634	0.00026339	0.000635451	0.00259358	0.00537493	0.00531463	-0.00557458
1	1	85270	0.199283	0.0614336	0.0567519	0.998115	0.998391	0.000276693	-0.00765243	0.00796594	0.00943706	-0.00351625	0.00355933
1	1	87742	0.141099	0.107761	0.106995	0.994211	0.994292	8.23406e-05	-6.3729e-05	-0.000860689	-0.0103402	0.00137724	0.00138806
1	1	88348	0.128099	0.119359	0.0967245	0.992902	0.995333	0.00244843	-0.0585968	-0.00375378	0.0334995	0.081603	0.0186111
1	1	89227	0.110231	0.107981	0.0445222	0.994187	0.999009	0.00485059	-0.0431998	0.02077	-0.013244	-0.0496892	-0.0157513
1	1	96299	0.0134519	0.131136	0.0966116	0.991439	0.995344	0.00393911	-0.167697	-0.0580111	0.0228704	0.0365326	0.00328083
1	1	96757	0.0103386	0.0953416	0.067268	0.995465	0.99774	0.00228513	-0.00187214	0.0426129	-0.0394729	-0.00298807	-0.0593412
1	1	97604	0.00565177	0.06463	0.0647476	0.997914	0.997906	-7.60889e-06	-0.00013077	-0.000195432	0.000108764	-0.000105736	-0.00012305
1	2	927	-0.000849008	0.0213508	0.0268282	0.999772	0.99964	-0.000131939	0.000979416	0.00447712	0.00303235	0.000115596	0.00399933
1	2	9278	-0.0825885	0.095326	0.0953685	0.995467	0.995463	-4.05453e-06	-0.000207	0.000538956	0.000925084	-0.000306079	0.000100577
1	2	9701	-0.090054	0.102578	0.0530188	0.994753	0.998595	0.00386306	-0.0550272	-0.0419968	-0.0299785	-0.0092907	-0.0138716
1	2	11352	-0.121889	0.0815107	0.0805963	0.996684	0.996757	7.41188e-05	-0.00385642	0.0349094	-0.00134523	0.00637319	0.0396649
1	2	14582	-0.195592	0.150266	0.120514	0.988774	0.992765	0.00403632	-0.0317108	0.0229195	0.0223531	-0.00957238	-0.0153528
1	2	15184	-0.210807	0.135025	0.131134	0.990926	0.991439	0.00051794	-0.0115641	0.0116826	0.0113581	-0.0185497	-0.0308749
1	2	15362	-0.215402	0.13528	0.103418	0.990891	0.994667	0.00380998	-0.020609	-0.0372677	-0.0224268	0.0298078	0.00111293
1	2	17035	-0.260088	0.147643	0.12907	0.98916	0.991705	0.00257292	-0.0186893	0.00147092	0.00872949	0.00090665	0.00237541
1	2	17644	-0.277071	0.145916	0.0883002	0.989411	0.996109	0.00677004	-0.192509	0.0210453	0.0125851	-0.0323665	0.0718331
1	2	19826	-0.340325	0.0759696	0.0451821	0.997118	0.99898	0.00186672	-0.00376294	0.00043634	-0.0427329	0.0215368	-0.0424414
1	2	20361	-0.356322	0.0517357	0.0304231	0.998663	0.999537	0.000875893	-0.0313537	-0.00647463	0.00722903	0.00518308	-0.0173213
1	2	26446	-0.545366	0.187986	0.168523	0.982486	0.9859	0.00347528	-0.0181592	-0.0179718	0.0150168	0.00249777	0.0181772
1	2	26872	-0.558679	0.181753	0.125163	0.983619	0.992198	0.00872205	-0.0674907	0.0239627	0.0344445	0.0257454	-0.00871187
1	2	27717	-0.584974	0.149366	0.105893	0.988907	0.994409	0.00556388	-0.0990994	-0.0333982	-0.0477372	0.0403527	0.0584745
1	2	31383	-0.695199	0.179636	0.134964	0.983995	0.990934	0.00705159	-0.0436263	0.0194059	0.0654987	-0.124972	-0.0970996
1	2	31446	-0.697039	0.136427	0.0685531	0.990737	0.997653	0.0069807	-0.0454617	-0.00223289	-0.0647405	0.0456381	0.0410039
1	2	32295	-0.721248	0.0914012	0.0579927	0.995832	0.99832	0.00249862	-0.0360075	0.0113823	0.0162267	0.00531329	-0.0086722
1	2	36517	-0.831072	0.163564	0.0957572	0.986712	0.995426	0.00883068	-0.0886155	0.0255918	-0.00146016	0.0404003	-0.00360403
1	2	38233	-0.869474	0.127415	0.128522	0.991916	0.991775	-0.000141704	-0.00103234	0.00839423	0.0049893	-0.00709063	0.00277353
1	2	40252	-0.909125	0.163785	0.140313	0.986677	0.990204	0.00357535	-0.0636953	0.0463241	0.0229994	-0.0150109	-0.0112416
1	2	42600	-0.946929	0.166215	0.14544	0.986281	0.989479	0.00324257	-0.0262199	-0.00287562	-0.0125002	0.0139155	0.00872019
1	2	42883	-0.950846	0.1481	0.0498736	0.989093	0.998757	0.0097705	-0.0940054	-0.129498	-0.00528626	-0.0361379	0.0397302
1	2	51366	-0.998158	0.0737946	0.0647997	0.997281	0.997903	0.000623511	-0.00866962	0.00733718	-0.0020346	0.00512076	0.000838365
1	2	54473	-0.980382	0.0535791	0.0529807	0.998566	0.998598	3.18805e-05	0.000400939	2.10397e-05	-0.000162609	-0.000555346	-0.00111125
1	2	54684	-0.9785	0.0519788	0.0323918	0.99865	0.999476	0.000826625	-0.0220234	0.0204998	-0.015768	-0.0108719	-0.0123845
1	2	59270	-0.917555	0.0644812	0.0625554	0.997923	0.998045	0.00012233	0.00571569	-0.00186898	-0.0142819	0.0130294	0.00294001
1	2	59556	-0.912548	0.066645	0.0552429	0.997782	0.998475	0.000695128	0.0257841	0.0380392	0.0264963	0.0174486	-0.0524543
1	2	62008	-0.8643	0.09069	0.0848493	0.995896	0.996407	0.000512769	0.019058	-0.0325566	0.0168143	-0.0224319	0.0796039
1	2	64783	-0.799376	0.137961	0.0672295	0.990529	0.997743	0.00728308	0.0915285	0.0179105	-0.025575	0.058176	-0.075998
1	2	66621	-0.751241	0.0996196	0.0959296	0.99505	0.995409	0.000360848	-0.00135315	0.00553426	0.0174376	-0.0122587	0.00975301
1	2	68013	-0.712514	0.130457	0.0768987	0.991527	0.997048	0.00556829	0.0747756	0.00369672	-0.0168316	0.0142969	0.00930514
1	2	70215	-0.648065	0.126226	0.109902	0.992065	0.993979	0.00192917	0.0592423	0.0182117	-0.0553096	-0.0515356	0.0587022
1	2	71859	-0.598025	0.140207	0.11075	0.990219	0.993886	0.00370306	0.00868513	-0.020782	0.0114688	-0.0183846	-0.0765802
1	2	74631	-0.511567	0.18884	0.183238	0.982328	0.983352	0.00104279	0.00796021	0.0189647	0.00371857	0.0121877	0.00609983
1	2	75325	-0.489768	0.203686	0.177357	0.97947	0.984395	0.00502885	0.0235114	-0.0482531	0.0021481	0.0364841	-0.00198827
1	2	75955	-0.469994	0.196276	0.192835	0.980922	0.981579	0.000669819	-0.00311646	0.000391293	0.0493752	-0.0127344	0.0105451
1	2	76943	-0.439104	0.223574	0.191453	0.975317	0.98184	0.00668795	0.0811394	0.0518955	-0.0687283	0.0733537	0.0433914
1	2	77416	-0.424379	0.202578	0.194385	0.97969	0.981285	0.00162759	0.00941407	0.00911665	-0.00488883	-0.00731687	-0.0112154
1	2	77758	-0.413774	0.202513	0.175004	0.979703	0.984803	0.00520619	0.00927805	-0.00563416	0.0440951	-0.0160055	-0.0115583
1	2	78481	-0.391507	0.194214	0.139381	0.981317	0.990333	0.00918797	0.0375822	-0.0813448	0.0116692	-0.100979	-0.0140101
1	2	81261	-0.308333	0.220089	0.199262	0.976071	0.980343	0.00437649	0.0514999	0.0312182	-0.0431658	-0.0451344	0.0580067
