cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
3	1	87419	0	0.0206521	0.0226498	0.999787	0.999744	-4.32515e-05	0.00364661	-3.68145e-05
3	1	87889	0	0.0226498	0.0295418	0.999744	0.999564	-0.000179836	-1.95086e-05	-0.0440062
3	2	76	0	0.026212	0.0280308	0.999657	0.999607	-4.93278e-05	-0.00103093	0.00291582
3	2	3316	0	0.0280308	0.0369325	0.999607	0.999318	-0.000289099	-0.00236515	0.0138693
3	2	9698	0	0.0369325	0.0345797	0.999318	0.999402	8.41299e-05	0.0521927	0.00244242
3	2	13706	0	0.0345797	0.0346702	0.999402	0.999399	-3.13347e-06	-0.000233373	0.000333218
3	2	26122	0	0.0346702	0.0174686	0.999399	0.999847	0.000448535	-0.0381312	-0.0169157
3	2	29409	0	0.0174686	0.0174224	0.999847	0.999848	8.06171e-07	5.63026e-05	4.22492e-06
3	2	32620	0	0.0174224	0.0191755	0.999848	0.999816	-3.20799e-05	0.0111508	0.00986416
3	2	35299	0	0.0191755	0.0202314	0.999816	0.999795	-2.08034e-05	0.00302614	0.00142288
3	2	51590	0	0.0202314	0.0252473	0.999795	0.999681	-0.000114053	-0.00256748	0.00480776
3	2	54534	0	0.0252473	0.00456972	0.999681	0.99999	0.000308319	0.000601334	-0.0213739
3	2	64989	0	0.00456972	0.035536	0.99999	0.999369	-0.000620769	-0.00257526	-0.0387848
3	2	76875	0	0.035536	0.0248506	0.999369	0.999691	0.00032268	-0.00987155	0.0154721
3	2	84365	0	0.0248506	0.0221769	0.999691	0.999754	6.28706e-05	0.0129533	0.0417258
3	2	98035	0	0.0221769	0.0179487	0.999754	0.999839	8.48315e-05	-0.00166984	-0.00454609
4	1	953	0	0.0295418	0.0240092	0.999564	0.999712	0.000148149	0.00716294	0.0377184
4	1	13787	0	0.0240092	0.0284703	0.999712	0.999595	-0.000117051	0.00666347	-0.00492832
4	1	32440	0	0.0284703	0.0327425	0.999595	0.999464	-0.000130747	0.00462677	-0.00132309
4	1	39977	0	0.0327425	0.0160821	0.999464	0.999871	0.000406801	-0.0211491	0.00621867
4	1	49074	0	0.0160821	0.0185932	0.999871	0.999827	-4.35355e-05	0.00514316	-0.00263147
4	1	55965	0	0.0185932	0.0161843	0.999827	0.999869	4.18887e-05	-0.000116276	-0.00846222
4	1	57646	0	0.0161843	0.00850848	0.999869	0.999964	9.47736e-05	-0.0091311	0.00427425
