cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.00558151	1	0.999984	-1.55765e-05	-0.000881737	-0.000947672	0.00487988	-0.00236689	-0.000249725
0	0	0	0	0.00558151	0.00617826	0.999984	0.999981	-3.5088e-06	-0.00158831	0.00066962	-0.000205759	-0.000429666	0.0017743
1	1	2165	0.00461952	0.00907369	0.00906721	0.999959	0.999959	5.87661e-08	4.13636e-06	2.0504e-06	1.71476e-06	9.71026e-06	-6.43504e-06
1	1	10194	0.0991042	0.101728	0.0613924	0.994839	0.998117	0.00329515	0.0771245	0.0186456	-0.0106439	0.0407103	0.0353626
1	1	13041	0.158687	0.101154	0.0625338	0.994897	0.998047	0.00316586	0.0279069	-0.016554	-0.00732406	-0.0140768	-0.0333852
1	1	15280	0.213292	0.114111	0.113664	0.993511	0.993561	5.08768e-05	0.000387557	-5.2993e-05	0.000659349	2.44114e-05	6.116e-06
1	1	15509	0.219211	0.119418	0.102031	0.992895	0.994808	0.00192707	0.0167597	-0.00366311	0.0122964	-0.00458147	-0.0151019
1	1	16193	0.237243	0.119682	0.114053	0.992864	0.993517	0.000658027	0.00658275	-0.00204119	-0.0021761	-0.00441571	-0.00974666
1	1	17807	0.281647	0.157585	0.12997	0.98766	0.991589	0.00397825	0.0361578	-0.0321703	0.0310952	-9.6893e-05	0.00275634
1	1	18395	0.298419	0.145505	0.101238	0.98947	0.994889	0.00547618	0.0459982	0.0237234	-0.0588448	-0.00649467	-0.0133029
1	1	19198	0.321757	0.122447	0.0984981	0.992531	0.995161	0.00264916	0.15376	-0.0350488	0.0754475	-0.0289031	-0.0259688
1	1	19216	0.322283	0.0982834	0.0958996	0.995182	0.995412	0.000231477	-0.0260871	0.0158551	0.0120028	-0.0191762	0.00170722
1	1	22056	0.408058	0.119077	0.0656477	0.992935	0.997848	0.00494711	0.0378345	-0.0152966	-0.0546586	0.0180672	0.0344588
1	1	25389	0.512223	0.14921	0.105801	0.98893	0.994419	0.00555031	0.0905503	0.0283338	0.0494213	0.0109085	0.0975731
1	1	26767	0.555412	0.131074	0.119559	0.991447	0.992878	0.00144413	0.00254019	0.00872329	-0.00541014	0.00638015	-0.0110372
1	1	28115	0.597256	0.153101	0.144866	0.988348	0.989562	0.00122765	0.00159413	-0.00935901	0.00852445	0.0190343	-0.0359924
1	1	28486	0.608664	0.155083	0.0888958	0.988047	0.996057	0.00810685	0.0839703	0.0158739	-0.000783225	0.00551305	0.00855809
1	1	30874	0.680386	0.145212	0.110675	0.989512	0.993894	0.00442855	0.0407401	-0.00606023	0.00820342	-0.00138847	-0.0556255
1	1	31109	0.687255	0.116155	0.115835	0.993277	0.993314	3.71408e-05	0.000430547	1.40258e-05	0.000159455	0.000205692	0.00058685
1	1	32240	0.719692	0.143295	0.121694	0.989786	0.992623	0.0028661	0.0480459	-0.0469194	-0.00546608	-0.00261362	-0.0275891
1	1	33843	0.763745	0.153656	0.101477	0.988264	0.994864	0.00667841	0.216631	0.0853535	-0.0358964	-0.0210114	0.0475699
1	1	37709	0.858181	0.036419	0.0361503	0.999337	0.999347	9.75197e-06	-0.00175767	0.000376878	-0.00169486	0.00081398	0.00382534
1	1	40024	0.904957	0.0602744	0.06572	0.998185	0.997843	-0.000342999	-0.00864821	-0.0206766	-0.0214724	-0.0276256	-0.00340876
1	1	43609	0.960228	0.116893	0.089715	0.993191	0.995984	0.00281156	0.0484482	0.00825088	-0.0392364	0.0659011	-0.0314771
1	1	46264	0.986288	0.109769	0.111463	0.993994	0.993807	-0.00018738	-0.00482277	-0.0167098	0.00325063	-0.00640454	-0.00672972
1	1	46699	0.989289	0.114021	0.0954172	0.993521	0.995458	0.00195009	0.149224	0.0277127	-0.0289836	-0.0588008	0.0507746
1	1	47155	0.992036	0.0939598	0.0939438	0.995596	0.995597	1.50568e-06	-0.00103645	-0.000489497	-0.000982978	0.000347919	0.000429247
1	1	47463	0.993662	0.0931262	0.0867073	0.995673	0.996248	0.000577334	-0.00902351	0.00231373	0.0020841	0.00123774	-0.0076348
