cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
4	1	76345	0	0	0.0383494	1	0.999265	-0.00073507	0.0114766	0.030275	0.0138304	0.0106833	0.0108155
5	1	79013	0	0.0383494	0.0410453	0.999265	0.999158	-0.000107013	-0.044431	-0.0427289	-0.00409143	-0.0290964	-0.00769509
5	2	25185	0	0	0.0250372	1	0.999687	-0.000313382	0.000554267	-0.0153353	-0.0119068	-0.00146065	-0.0157315
6	1	93280	0	0.0410453	0.0365271	0.999158	0.999333	0.00017526	0.0119516	-0.005656	0.0136944	0.020303	-0.00664823
12	1	30338	0	0.0365271	0.0288916	0.999333	0.999583	0.000249782	0.025656	0.00707191	-0.0434237	-0.016436	-0.00541869
13	1	99473	0	0.0288916	0.0445958	0.999583	0.999006	-0.000576863	-0.00138628	-0.02516	0.0318984	-0.00689107	0.0170996
14	1	306	0	0.0445958	0.0234864	0.999006	0.999724	0.000718846	-0.0218793	0.0323351	-0.00659473	0.0330432	-0.00292454
14	1	33328	0	0.0234864	0.026262	0.999724	0.999655	-6.90381e-05	0.0150623	0.0159543	-0.017033	-0.017371	0.0137531
15	2	80602	0	0.0250372	0.0293484	0.999687	0.999569	-0.000117225	-0.00763068	0.017269	0.0163145	0.0215159	0.0353751
18	1	35599	0	0.026262	0.0314679	0.999655	0.999505	-0.000150258	0.00901639	-0.00457924	0.0252731	0.0229234	0.00165343
19	2	45541	0	0.0293484	0.0345385	0.999569	0.999404	-0.000165775	0.0215648	-0.0168274	0.0133541	-0.00229388	-0.00823211
21	2	72025	0	0.0345385	0.00970829	0.999404	0.999953	0.000549478	-0.0165874	0.0212798	-0.0215212	-0.0224545	-0.00781946
27	1	15189	0	0.0314679	0.0427781	0.999505	0.999085	-0.000419781	0.0068473	-0.018406	-0.0468498	-0.0005853	-0.00735524
28	1	76367	0	0.0427781	0.0373685	0.999085	0.999302	0.000216808	-0.00901747	-0.000421333	0.00115975	-0.0298438	-0.00630569
28	1	78659	0	0.0373685	0.035796	0.999302	0.99936	5.7524e-05	-0.0266735	0.0293313	0.0165246	0.0227872	0.00174219
29	1	26450	0	0.035796	0.0450421	0.99936	0.998986	-0.000373646	0.0473258	-0.0303722	0.0276593	-0.0236676	0.0222224
29	1	98712	0	0.0450421	0.0273593	0.998986	0.999626	0.000640333	-0.00530394	0.0203335	-0.00486736	-0.00274318	-0.0314906
30	2	19187	0	0.00970829	0.0322994	0.999953	0.999479	-0.000474389	-0.00522715	-0.0186865	0.010271	-0.0221088	-0.0123976
31	2	17293	0	0.0322994	0.0393226	0.999479	0.999227	-0.000251474	-0.0133066	-0.0146377	-0.011884	0.020124	0.0267344
31	2	19132	0	0.0393226	0.0236394	0.999227	0.999721	0.000493842	0.0250649	0.0435526	-0.00453716	0.000737148	-0.0293149
32	2	87841	0	0.0236394	0.0482513	0.999721	0.998837	-0.000884292	-0.00903149	0.0197791	0.00277075	0.0359384	0.00575503
34	2	44934	0	0.0482513	0.0285916	0.998837	0.999591	0.000755641	-0.000526916	-0.0520297	-0.0141229	-0.0203502	0.00437184
42	2	7657	0	0.0285916	0.025668	0.999591	0.999671	7.93194e-05	0.00191679	0.00994997	0.0178615	-0.0103183	0.0258398
42	2	37881	0	0.025668	0.0446362	0.999671	0.999004	-0.000666548	-0.0243103	0.00485228	-0.00574271	0.0309827	-0.0398106
42	2	95033	0	0.0446362	0.0289284	0.999004	0.999582	0.000577935	0.0212208	0.006278	0.0129106	-0.0529773	-0.000249443
46	2	28608	0	0.0289284	0.0517247	0.999582	0.998663	-0.000918876	0.0245491	0.011582	-0.0260889	0.0139625	0.0539309
47	2	29799	0	0.0517247	0.0476615	0.998663	0.998865	0.000201934	0.00447496	0.0226816	0.0356006	0.00927546	-0.0397928
48	2	37167	0	0.0476615	0.0488022	0.998865	0.99881	-5.5014e-05	-0.0604284	-0.0490806	-0.0365474	0.0142973	0.0118175
48	2	55196	0	0.0488022	0.0318888	0.99881	0.999492	0.000682611	0.0346042	-0.0146275	0.00268329	-0.0143223	-0.0131696
58	2	57022	0	0.0318888	0.0302827	0.999492	0.999542	4.99272e-05	0.000745337	0.0126904	0.0084324	0.0189201	0.0187225
61	1	13721	0	0.0273593	0.0307711	0.999626	0.999527	-9.91599e-05	-0.0137442	-0.00796607	0.00839537	-0.00425426	-0.0147124
63	1	49220	0	0.0307711	0.0322044	0.999527	0.999482	-4.51303e-05	0.00102699	-0.0032371	-0.00273962	0.0472009	0.00309461
63	1	70174	0	0.0322044	0.0510771	0.999482	0.998696	-0.000785565	0.004261	0.00922794	-0.0410237	-0.0243778	-0.0287163
63	2	30092	0	0.0302827	0.0481926	0.999542	0.998839	-0.000702493	0.030078	0.0158206	-0.0176617	-0.0124768	-0.0404382
