cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.0145203	1	0.999895	-0.000105414	-0.000393963	0.00205252	-0.0011775	-0.00199627	-0.014181
0	0	0	0	0.0145203	0.0323731	0.999895	0.999476	-0.0004185	-0.0234006	-0.0122931	-0.000422105	0.0210842	0.0173526
0	0	0	0	0.0323731	0.0456914	0.999476	0.998957	-0.000519707	0.00394992	-0.00326218	0.0217032	0.00828181	-0.0221007
0	0	0	0	0.0456914	0.0307082	0.998957	0.999529	0.000572516	-0.0077817	0.00459504	-0.0238029	-0.0200409	0.024677
0	0	0	0	0.0307082	0.0554115	0.999529	0.998466	-0.00106316	0.0383697	0.00817919	-0.0244951	0.0388685	-0.0107848
0	0	0	0	0.0554115	0.0578135	0.998466	0.99833	-0.000135974	-0.0143398	0.000573979	0.00265789	-0.000338488	-0.0189277
0	0	0	0	0.0578135	0.0602986	0.99833	0.998184	-0.000146744	-0.0022496	0.0054394	-0.00153609	0.00235293	0.00123774
0	0	0	0	0.0602986	0.0602335	0.998184	0.998188	3.92092e-06	-0.00437696	0.00617099	1.19828e-05	-0.0018289	0.000172889
0	0	0	0	0.0602335	0.0515725	0.998188	0.998671	0.000484292	-0.0138939	0.00164578	0.0163103	-0.0103212	0.000408315
0	0	0	0	0.0515725	0.0610409	0.998671	0.998139	-0.000532995	0.0156643	-0.0502081	0.0479399	-0.0271005	-0.00639026
0	0	0	0	0.0610409	0.0604901	0.998139	0.998172	3.34737e-05	-4.93261e-05	0.000496931	0.000176733	0.000269006	0.000875879
0	0	0	0	0.0604901	0.0531987	0.998172	0.998586	0.000414563	-0.0376582	0.0193542	-0.0213965	-0.00623547	0.01593
0	0	0	0	0.0531987	0.0712473	0.998586	0.997465	-0.00112241	0.0246909	0.050606	-0.024045	-0.0510059	-0.0219257
0	0	0	0	0.0712473	0.0635264	0.997465	0.997984	0.000520424	-0.00316514	-0.00211978	-0.00278248	0.00544288	0.010777
0	0	0	0	0.0635264	0.0672988	0.997984	0.997738	-0.000246733	0.0212695	0.0173743	-0.00154259	-0.00164506	0.0297171
0	0	0	0	0.0672988	0.0733339	0.997738	0.997315	-0.000424276	-0.0125818	0.00581276	-0.00295469	0.000441878	-0.0035915
0	0	0	0	0.0733339	0.0530584	0.997315	0.998593	0.00128216	-0.00906185	-0.0262921	0.00982354	0.00807942	0.00645838
0	0	0	0	0.0530584	0.0407469	0.998593	0.99917	0.000577609	-0.00825761	-0.0181539	0.00831457	0.0344107	0.0113863
0	0	0	0	0.0407469	0.0559753	0.99917	0.998435	-0.000736188	0.0518032	-0.00757999	-0.00177882	0.0507372	-0.00273408
0	0	0	0	0.0559753	0.0629857	0.998435	0.998018	-0.000416896	0.00843113	0.00931052	-0.00334339	0.000675329	0.00581609
0	0	0	0	0.0629857	0.0675217	0.998018	0.997723	-0.000295951	0.000135308	0.00216667	-0.00210241	0.00412552	0.00168603
0	0	0	0	0.0675217	0.057125	0.997723	0.99837	0.000648167	-0.0112855	-0.00440929	-0.0100359	-0.0130549	0.00602139
0	0	0	0	0.057125	0.0564737	0.99837	0.998407	3.69978e-05	0.00367714	-0.00037157	-0.000686189	-0.00168774	-0.0012978
0	0	0	0	0.0564737	0.0471786	0.998407	0.998888	0.000481843	-0.00827753	-0.0177284	0.0378765	-0.00079528	-0.0337944
0	0	0	0	0.0471786	0.0600719	0.998888	0.998197	-0.000691165	0.00295916	-0.0155037	-0.0349647	-0.0376917	-0.0484952
0	0	0	0	0.0600719	0.0440416	0.998197	0.999031	0.000834831	-0.0160295	0.0106923	0.0299542	0.034512	0.0383318
0	0	0	0	0.0440416	0.0444305	0.999031	0.999013	-1.72033e-05	-0.0142761	-0.00283102	0.0145853	-0.0166085	0.0064503
0	0	0	0	0.0444305	0.055763	0.999013	0.998446	-0.000567561	-0.0242453	-0.000155006	-0.00165893	-0.0117851	-0.0079105
0	0	0	0	0.055763	0.0380966	0.998446	0.999275	0.000829426	0.0234859	-0.00311206	-0.0339746	0.013469	0.0334844
0	0	0	0	0.0380966	0.0421325	0.999275	0.999113	-0.000161887	0.00181217	0.00746618	-0.008866	0.00178674	0.00875331
0	0	0	0	0.0421325	0.0433165	0.999113	0.999062	-5.05824e-05	0.00145384	0.00270621	-0.0010579	0.00144654	0.00188922
1	1	864	0	0.0433165	0.0653159	0.999062	0.997869	-0.00119421	0.00892067	0.00572697	-0.0514909	-0.0296088	-0.0311948
1	1	1552	0	0.0653159	0.0608972	0.997869	0.998147	0.00027889	0.00419124	-0.0292025	0.0398072	0.0334561	0.0371052
1	1	2825	0	0.0608972	0.0616705	0.998147	0.9981	-4.73889e-05	-0.00539468	6.30245e-05	-0.00293945	0.00172289	-0.00280208
1	1	4120	0	0.0616705	0.0708902	0.9981	0.99749	-0.000610903	-0.0217765	0.00207134	-0.0250358	-0.0255674	-0.0100559
1	1	5503	0	0.0708902	0.0719974	0.99749	0.997412	-7.90985e-05	-0.000650081	-0.00749715	0.00287079	-0.00519138	-0.00202356
1	1	8032	0	0.0719974	0.0736039	0.997412	0.997295	-0.000116943	-0.00382341	0.00835234	-0.00052358	0.0177422	0.00545292
1	1	8432	0	0.0736039	0.0680375	0.997295	0.997688	0.000394288	0.00602097	-0.00274855	0.00605643	-0.000157951	-0.00054943
1	1	9516	0	0.0680375	0.0667096	0.997688	0.997777	8.94705e-05	-0.022764	0.0459305	0.0671018	-0.031282	0.00862685
1	1	10695	0	0.0667096	0.065587	0.997777	0.997851	7.42598e-05	0.0124097	0.00479567	0.00536156	-0.00318973	0.00525516
1	1	12388	0	0.065587	0.041442	0.997851	0.999142	0.00129295	0.0537168	-0.0230177	-0.0383597	-0.0104935	-0.0606245
1	1	12520	0	0.041442	0.0391211	0.999142	0.999235	9.34934e-05	-0.00536549	-0.0023931	0.00301897	-3.75404e-05	0.000196796
1	1	13542	0	0.0391211	0.0703284	0.999235	0.99753	-0.00170635	-0.00572332	-0.00215383	-0.0459711	-0.00244964	0.0528863
1	1	13553	0	0.0703284	0.066513	0.99753	0.99779	0.000261087	0.000194394	0.00141646	0.00287605	-0.00250353	-0.00640972
1	1	13948	0	0.066513	0.024186	0.99779	0.999708	0.00192135	6.99719e-05	-0.00718137	0.0434809	0.0489843	-0.0306319
1	1	15506	0	0.024186	0.0473766	0.999708	0.998878	-0.000829446	0.00590552	0.00643377	-0.0183064	0.0212313	0.0119714
1	1	16247	0	0.0473766	0.0544723	0.998878	0.998517	-0.000361277	-0.00605764	-0.0109594	-0.00799896	-0.00278881	0.0105769
1	1	16482	0	0.0544723	0.0704138	0.998517	0.997524	-0.000994939	0.0178996	-0.00845611	0.0315512	0.0260194	-0.0141555
1	1	17043	0	0.0704138	0.0650537	0.997524	0.997886	0.000363121	0.00440439	0.000253487	-0.00112117	-0.00887014	-0.00926151
1	1	17948	0	0.0650537	0.0678057	0.997886	0.997704	-0.000182794	0.0046797	-0.000598243	0.00907647	0.000111842	-0.000108469
1	1	18105	0	0.0678057	0.0599331	0.997704	0.998206	0.000502944	-0.0468178	-0.0252833	-0.0264741	-0.057698	0.0137693
1	1	18360	0	0.0599331	0.0572905	0.998206	0.99836	0.0001549	0.00154105	0.000128512	0.00736885	0.00292584	0.00120193
