cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
2	1	66220	0.5	0.0254604	0.01276	0.999676	0.999919	0.000242736	-0.0204718	-0.0281996
2	2	15431	-0.5	0.0227505	0.00913093	0.999741	0.999958	0.00021713	-0.0261256	0.00267136
2	2	20564	-0.5	0.00913093	0.00800881	0.999958	0.999968	9.61654e-06	9.12904e-05	-0.00122179
2	2	34010	-0.5	0.00800881	0.021115	0.999968	0.999777	-0.000190832	-0.0160886	-0.0135819
2	2	43282	-0.5	0.021115	0.0258109	0.999777	0.999667	-0.000110175	0.0138101	-0.018424
2	2	44330	-0.5	0.0258109	0.0254807	0.999667	0.999675	8.47018e-06	-0.00209106	0.000965046
2	2	46160	-0.5	0.0254807	0.00985481	0.999675	0.999951	0.000276112	0.000498529	0.0180994
2	2	49077	-0.5	0.00985481	0.0169689	0.999951	0.999856	-9.54091e-05	-0.00744422	0.0133681
2	2	53232	-0.5	0.0169689	0.0160279	0.999856	0.999872	1.5526e-05	0.00134054	0.000529833
2	2	73885	-0.5	0.0160279	0.0150631	0.999872	0.999887	1.49975e-05	0.000593347	-0.0009263
2	2	96364	-0.5	0.0150631	0.0284146	0.999887	0.999596	-0.000290203	-0.0103079	-0.02274
2	2	96999	-0.5	0.0284146	0.0101642	0.999596	0.999948	0.0003521	0.0292195	0.024252
3	1	11487	0.5	0.01276	0.0091277	0.999919	0.999958	3.97516e-05	0.0150762	-0.0044457
3	1	13135	0.5	0.0091277	0.0123104	0.999958	0.999924	-3.41153e-05	-0.00043885	-0.0034227
3	1	28985	0.5	0.0123104	0.00730426	0.999924	0.999973	4.90984e-05	-0.00525471	0.00524151
3	1	43685	0.5	0.00730426	0.019757	0.999973	0.999805	-0.000168479	-0.0118207	0.0202182
3	1	54306	0.5	0.019757	0.0238971	0.999805	0.999715	-9.03627e-05	-0.00554575	-0.000409428
3	1	60452	0.5	0.0238971	0.0289858	0.999715	0.99958	-0.000134543	0.00180742	0.00951771
3	1	61788	0.5	0.0289858	0.0109739	0.99958	0.99994	0.000359939	0.0132419	-0.0127588
3	1	69713	0.5	0.0109739	0.00902841	0.99994	0.999959	1.94577e-05	0.00651127	-0.000871635
3	1	89155	0.5	0.00902841	0.0271263	0.999959	0.999632	-0.000327108	0.0213101	0.00575437
3	1	98677	0.5	0.0271263	0.0145784	0.999632	0.999894	0.000261686	-0.0262325	-0.0288296
3	2	3091	-0.5	0.0101642	0.0107108	0.999948	0.999943	-5.70575e-06	0.00131395	-0.000296205
3	2	20141	-0.5	0.0107108	0.00240365	0.999943	0.999997	5.44738e-05	-0.00524545	-0.00644693
3	2	23600	-0.5	0.00240365	0.00597392	0.999997	0.999982	-1.4955e-05	-0.000303836	0.00406349
3	2	29240	-0.5	0.00597392	0.00573667	0.999982	0.999984	1.38917e-06	-0.00307006	-0.000355635
3	2	34284	-0.5	0.00573667	0.00450713	0.999984	0.99999	6.29759e-06	-0.00155974	-0.0023936
3	2	45327	-0.5	0.00450713	0.00445988	0.99999	0.99999	2.11854e-07	8.56804e-05	2.16866e-05
3	2	72465	-0.5	0.00445988	0.0300841	0.99999	0.999548	-0.000442485	-0.00151874	0.0266145
3	2	80183	-0.5	0.0300841	0.0403402	0.999548	0.999187	-0.000361071	0.0105043	-0.0696347
3	2	84394	-0.5	0.0403402	0.0310798	0.999187	0.999517	0.000330743	0.0112153	0.0139
3	2	97088	-0.5	0.0310798	0.0159304	0.999517	0.999873	0.00035615	-0.0167207	0.0100965
4	1	1615	0.5	0.0145784	0.0101902	0.999894	0.999948	5.43471e-05	-0.00315082	0.00637402
4	1	6840	0.5	0.0101902	0.00856363	0.999948	0.999963	1.52522e-05	0.00546972	-0.000693299
4	1	13699	0.5	0.00856363	0.0511182	0.999963	0.998694	-0.00126906	-0.0163981	0.0565295
4	1	15787	0.5	0.0511182	0.0140964	0.998694	0.999901	0.00120791	0.0291828	-0.0401702
4	1	32550	0.5	0.0140964	0.0349364	0.999901	0.99939	-0.000510793	-0.00801423	-0.0426065
4	1	45502	0.5	0.0349364	0.00340041	0.99939	0.999994	0.000604678	-0.000287779	0.0349077
4	1	48336	0.5	0.00340041	0.00638564	0.999994	0.99998	-1.46067e-05	-0.00715209	0.00499831
4	1	54178	0.5	0.00638564	0.00606231	0.99998	0.999982	2.01241e-06	0.00028389	-0.000194687
4	1	60584	0.5	0.00606231	0.00611019	0.999982	0.999981	-2.91396e-07	-0.000623288	-0.000434913
4	1	64444	0.5	0.00611019	0.0158898	0.999981	0.999874	-0.00010757	-0.0112704	-0.000486624
4	1	70279	0.5	0.0158898	0.0194059	0.999874	0.999812	-6.20496e-05	0.0330418	-0.0120567
4	1	98514	0.5	0.0194059	0.0130979	0.999812	0.999914	0.000102522	-0.0202216	-0.00483969
4	2	6941	-0.5	0.0159304	0.0130638	0.999873	0.999915	4.1559e-05	-0.0133316	0.0161464
4	2	10628	-0.5	0.0130638	0.0136715	0.999915	0.999907	-8.12343e-06	0.00395301	-0.0104132
4	2	21543	-0.5	0.0136715	0.00983978	0.999907	0.999952	4.50452e-05	0.011498	0.0197403
4	2	35109	-0.5	0.00983978	0.0144539	0.999952	0.999896	-5.60457e-05	-0.0166261	-0.0120394
4	2	39219	-0.5	0.0144539	0.0344853	0.999896	0.999406	-0.000490039	0.0378338	-0.0226541
4	2	39556	-0.5	0.0344853	0.0413441	0.999406	0.999146	-0.000260017	-0.00395661	-0.0112332
4	2	47760	-0.5	0.0413441	0.0312232	0.999146	0.999513	0.000367291	0.0115549	0.0377096
4	2	50091	-0.5	0.0312232	0.00749718	0.999513	0.999972	0.000459447	-0.0252587	0.0032508
4	2	55694	-0.5	0.00749718	0.0134261	0.999972	0.99991	-6.20239e-05	-0.00354843	-0.0177911
4	2	65020	-0.5	0.0134261	0.0134575	0.99991	0.999909	-4.22106e-07	7.29171e-05	-1.85557e-05
5	1	7846	0.5	0.0130979	0.0077817	0.999914	0.99997	5.55016e-05	0.00407712	0.00521876
5	1	47577	0.5	0.0077817	0.0399803	0.99997	0.999201	-0.000768638	-0.0391641	-0.0058698
5	1	57798	0.5	0.0399803	0.0312639	0.999201	0.999511	0.000310542	0.0134323	-0.00629447
5	1	58180	0.5	0.0312639	0.00744178	0.999511	0.999972	0.000461133	0.0171481	0.0221707
5	1	73190	0.5	0.00744178	0.00800125	0.999972	0.999968	-4.31994e-06	0.00366626	0.00487262
5	1	96289	0.5	0.00800125	0.0113709	0.999968	0.999935	-3.26379e-05	-0.00442908	0.00101029
5	2	525	-0.5	0.0134575	0.0121873	0.999909	0.999926	1.62867e-05	-0.00107119	0.00112275
5	2	20101	-0.5	0.0121873	0.0135119	0.999926	0.999909	-1.70201e-05	-0.00191847	-0.0013937
5	2	26626	-0.5	0.0135119	0.00847597	0.999909	0.999964	5.5366e-05	0.00101909	0.00503975
5	2	26839	-0.5	0.00847597	0.0214862	0.999964	0.999769	-0.000194889	-0.00648208	-0.0121721
5	2	28192	-0.5	0.0214862	0.0233786	0.999769	0.999727	-4.24504e-05	0.0220503	0.0376246
5	2	38706	-0.5	0.0233786	0.0158909	0.999727	0.999874	0.000147031	-0.00599788	-0.00469015
5	2	66591	-0.5	0.0158909	0.0148656	0.999874	0.99989	1.5767e-05	-0.00226191	0.000355106
5	2	68436	-0.5	0.0148656	0.00829675	0.99989	0.999966	7.60782e-05	-0.00693344	-0.00440424
5	2	81021	-0.5	0.00829675	0.0128835	0.999966	0.999917	-4.85733e-05	-0.00242975	0.00453665
5	2	91255	-0.5	0.0128835	0.0168751	0.999917	0.999858	-5.93901e-05	-0.00495335	0.00277736
