cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
3	2	1892	0	0.00903834	0.0067887	0.999959	0.999977	1.78027e-05	0.00682634	0.0136097
3	2	6900	0	0.0067887	0.00730063	0.999977	0.999973	-3.60633e-06	0.00107039	-0.00914324
3	2	12217	0	0.00730063	0.00488678	0.999973	0.999988	1.47094e-05	-0.00240268	0.000897391
3	2	12919	0	0.00488678	0.0164466	0.999988	0.999865	-0.000123297	0.0109524	-0.00446659
3	2	39985	0	0.0164466	0.0236902	0.999865	0.999719	-0.000145357	0.00207876	0.0249121
3	2	48599	0	0.0236902	0.0296017	0.999719	0.999562	-0.000157507	0.0129669	-0.0198456
3	2	49351	0	0.0296017	0.0186609	0.999562	0.999826	0.000264051	-0.0206998	0.0193187
3	2	50988	0	0.0186609	0.0201459	0.999826	0.999797	-2.88139e-05	-0.0247123	-0.00416414
3	2	54357	0	0.0201459	0.0301232	0.999797	0.999546	-0.000250743	-0.0117198	-0.000396448
3	2	56226	0	0.0301232	0.0133563	0.999546	0.999911	0.000364575	0.022982	0.000593755
3	2	59542	0	0.0133563	0.0079181	0.999911	0.999969	5.78484e-05	0.0118932	-0.00923038
3	2	71205	0	0.0079181	0.00312108	0.999969	0.999995	2.6478e-05	-0.00551666	-0.000654183
3	2	79484	0	0.00312108	0.0159948	0.999995	0.999872	-0.000123038	0.00305464	0.0126514
3	2	82035	0	0.0159948	0.0240879	0.999872	0.99971	-0.000162185	0.0157563	-0.027919
3	2	95279	0	0.0240879	0.0222	0.99971	0.999754	4.36965e-05	-0.0159941	-0.00909283
4	1	1808	0	0.0187944	0.0141981	0.999823	0.999899	7.58242e-05	-0.00737684	-0.0160302
4	1	34463	0	0.0141981	0.00739696	0.999899	0.999973	7.34383e-05	0.0126493	-0.00876379
4	1	40231	0	0.00739696	0.00269756	0.999973	0.999996	2.37194e-05	0.00335092	0.00531832
4	1	61408	0	0.00269756	0.0208305	0.999996	0.999783	-0.000213294	0.00249003	0.0222978
4	2	17600	0	0.0222	0.0186102	0.999754	0.999827	7.3251e-05	0.000478342	0.00380765
4	2	18274	0	0.0186102	0.0196332	0.999827	0.999807	-1.9561e-05	-0.0155525	0.00138209
4	2	29235	0	0.0196332	0.0182029	0.999807	0.999834	2.70592e-05	0.00137489	0.000835529
4	2	31936	0	0.0182029	0.0206238	0.999834	0.999787	-4.69968e-05	0.00906831	0.0363356
4	2	42743	0	0.0206238	0.0377333	0.999787	0.999288	-0.000499107	0.0161928	0.0135168
4	2	45275	0	0.0377333	0.0282051	0.999288	0.999602	0.000314188	-0.0288735	-0.00900865
4	2	71562	0	0.0282051	0.0334759	0.999602	0.99944	-0.000162541	-0.0120849	-0.0475192
4	2	75169	0	0.0334759	0.00441159	0.99944	0.99999	0.000550738	0.0262367	0.0265881
4	2	76383	0	0.00441159	0.0295631	0.99999	0.999563	-0.000427165	0.0034105	0.024977
4	2	80720	0	0.0295631	0.0266543	0.999563	0.999645	8.17641e-05	0.00162492	-0.00329895
4	2	84787	0	0.0266543	0.0276926	0.999645	0.999617	-2.82136e-05	-0.0113555	0.00136409
4	2	85427	0	0.0276926	0.0222573	0.999617	0.999752	0.000135757	-0.00981861	-0.0106104
4	2	89072	0	0.0222573	0.0248123	0.999752	0.999692	-6.0129e-05	-0.00186945	0.00175521
